ticker,entry_date,entry,exit,pnl,exit_reason,type
DVN,93,22370.0,21363.35,-4.500000000000007,Trailing SL,PULLBACK
GDT,60,20650.0,19720.75,-4.5,Trailing SL,PULLBACK
GDT,98,19990.0,19800.0,-0.9504752376188095,Time Exit,PULLBACK
GDT,167,20130.0,19224.149999999998,-4.500000000000011,Trailing SL,EMA_CROSS
VRC,178,14150.0,14291.5,1.0,Trailing SL,EMA_CROSS
PGI,179,22000.0,21010.0,-4.5,Trailing SL,EMA_CROSS
CTS,133,41800.0,39919.0,-4.5,Trailing SL,PULLBACK
TCO,91,12150.0,11603.25,-4.5,Trailing SL,PULLBACK
KLB,148,16700.0,15948.5,-4.5,Trailing SL,PULLBACK
KLB,185,16700.0,16867.0,1.0,Trailing SL,PULLBACK
TLG,192,52200.0,52722.0,1.0,Trailing SL,PULLBACK
LBM,150,35330.0,35683.3,1.0000000000000082,Trailing SL,PULLBACK
LBM,164,35750.0,36107.5,1.0,Trailing SL,PULLBACK
NHH,162,11850.0,11968.5,1.0,Trailing SL,EMA_CROSS
HVH,69,14300.0,14443.0,1.0,Trailing SL,PULLBACK
HVH,72,14050.0,14190.5,1.0,Trailing SL,PULLBACK
HVH,75,14000.0,14140.0,1.0,Trailing SL,PULLBACK
HVH,97,13850.0,13226.75,-4.5,Trailing SL,PULLBACK
HVH,166,13600.0,13736.0,1.0,Trailing SL,EMA_CROSS
HVH,181,13650.0,13035.75,-4.5,Trailing SL,PULLBACK
TDP,126,31380.0,29967.899999999998,-4.500000000000007,Trailing SL,EMA_CROSS
PNC,121,27870.0,28148.7,1.0000000000000027,Trailing SL,PULLBACK
HDM,194,37300.0,35621.5,-4.5,Trailing SL,PULLBACK
VIM,145,12480.0,11918.4,-4.500000000000003,Trailing SL,PULLBACK
YEG,63,12800.0,12928.0,1.0,Trailing SL,PULLBACK
YEG,66,12800.0,12928.0,1.0,Trailing SL,PULLBACK
YEG,76,13000.0,13130.0,1.0,Trailing SL,PULLBACK
YEG,116,14650.0,14796.5,1.0,Trailing SL,PULLBACK
VIF,62,16260.0,16422.6,0.999999999999991,Trailing SL,PULLBACK
VIF,79,16400.0,16564.0,1.0,Trailing SL,PULLBACK
VIF,96,16900.0,16139.5,-4.5,Trailing SL,EMA_CROSS
VIF,110,16500.0,15757.5,-4.5,Trailing SL,PULLBACK
VIF,191,15900.0,15184.5,-4.5,Trailing SL,PULLBACK
VIF,192,16000.0,15280.0,-4.5,Trailing SL,PULLBACK
SHS,129,26900.0,27169.0,1.0,Trailing SL,PULLBACK
BVB,76,14000.0,14140.0,1.0,Trailing SL,PULLBACK
BVB,195,14200.0,14342.0,1.0,Trailing SL,EMA_CROSS
VBB,124,11320.0,11320.0,0.0,Time Exit,PULLBACK
VBB,129,11320.0,11130.0,-1.678445229681979,Time Exit,PULLBACK
PGB,169,12700.0,12128.5,-4.5,Trailing SL,PULLBACK
ABI,87,20640.0,20846.4,1.000000000000007,Trailing SL,PULLBACK
ABI,92,20710.0,20917.1,0.9999999999999929,Trailing SL,PULLBACK
ABI,104,21360.0,21573.6,0.9999999999999932,Trailing SL,PULLBACK
ABI,194,20900.0,21109.0,1.0,Trailing SL,EMA_CROSS
PGI,179,22000.0,21010.0,-4.5,Trailing SL,EMA_CROSS
TVS,76,15800.0,15958.0,1.0,Trailing SL,PULLBACK
DTD,129,21900.0,20914.5,-4.5,Trailing SL,PULLBACK
LAS,76,20400.0,19482.0,-4.5,Trailing SL,PULLBACK
L18,76,29800.0,30098.0,1.0,Trailing SL,PULLBACK
SJE,52,18830.0,17982.649999999998,-4.5000000000000115,Trailing SL,EMA_CROSS
SJE,75,18500.0,19980.0,8.0,TP,PULLBACK
SJE,169,19100.0,18240.5,-4.5,Trailing SL,PULLBACK
DHT,84,79910.0,76640.0,-4.0921036165686395,Time Exit,PULLBACK
